Titulo,Año,Duración,Género,Puntaje,Resumen,Director,Actor_1,Actor_2,Actor_3,Actor_4
Manhattan,1979,96,"Comedia, Drama, Romance",7.9,La vida de un escritor de televisión divorciado que sale con una adolescente se complica aún más cuando se enamora de la amante de su mejor amigo.,Woody Allen,Woody Allen,Diane Keaton,Mariel Hemingway,Michael Murphy
All That Jazz,1979,123,"Drama, Música, Musicales",7.9,"El director y coreógrafo Bob Fosse cuenta la historia de su propia vida mientras detalla la sórdida carrera de Joe Gideon, un bailarín mujeriego y consumidor de drogas.",Bob Fosse,Roy Scheider,Jessica Lange,Ann Reinking,Leland Palmer
Dawn of the Dead,1978,127,"Acción, Aventura, Terror",7.9,"Tras una epidemia cada vez mayor de zombis que han resucitado de entre los muertos, dos S.W.A.T. de Filadelfia. Los miembros del equipo, un reportero de tráfico y su novia ejecutiva de televisión buscan refugio en un centro comercial apartado.",George A. Romero,David Emge,Ken Foree,Scott H. Reiniger,Gaylen Ross
All the President's Men,1976,138,"Biografía, Drama, Historia",7.9,"Los reporteros de ""The Washington Post"", Bob Woodward y Carl Bernstein, descubren los detalles del escándalo Watergate que lleva a la dimisión del presidente Richard Nixon.",Alan J. Pakula,Dustin Hoffman,Robert Redford,Jack Warden,Martin Balsam
La montaÃ±a sagrada,1973,114,"Aventura, Drama, Fantasía",7.9,"En un mundo corrupto y alimentado por la avaricia, un poderoso alquimista guía a un personaje mesiánico y a siete figuras materialistas a la Montaña Sagrada, donde esperan alcanzar la iluminación.",Alejandro Jodorowsky,Alejandro Jodorowsky,Horacio Salinas,Zamira Saunders,Juan Ferrara
Amarcord,1973,123,"Comedia, Drama, Familia",7.9,Una serie de viñetas cómicas y nostálgicas ambientadas en una ciudad costera italiana de los años 30.,Federico Fellini,Magali NoÃ«l,Bruno Zanin,Pupella Maggio,Armando Brancia
Le charme discret de la bourgeoisie,1972,102,Comedia,7.9,"Una serie de sueños surrealistas, prácticamente sin trama, centrada en seis personas de clase media y sus intentos constantemente interrumpidos de comer juntos.",Luis BuÃ±uel,Fernando Rey,Delphine Seyrig,Paul Frankeur,Bulle Ogier
"Aguirre, der Zorn Gottes",1972,95,"Acción, Aventura, Biografía",7.9,"En el siglo XVI, el despiadado y loco Don Lope de Aguirre lidera una expedición española en busca de El Dorado.",Werner Herzog,Klaus Kinski,Ruy Guerra,Helena Rojo,Del Negro
Harold and Maude,1971,91,"Comedia, Drama, Romance",7.9,"Joven, rico y obsesionado con la muerte, Harold se ve cambiado para siempre cuando conoce a la animada septuagenaria Maude en un funeral.",Hal Ashby,Ruth Gordon,Bud Cort,Vivian Pickles,Cyril Cusack
Patton,1970,172,"Biografía, Drama, Guerra",7.9,La fase de la carrera de la Segunda Guerra Mundial del controvertido general estadounidense George S. Patton.,Franklin J. Schaffner,George C. Scott,Karl Malden,Stephen Young,Michael Strong
The Wild Bunch,1969,145,"Acción, Aventura, Western",7.9,"Un grupo anciano de forajidos busca un último gran logro mientras el ""tradicional"" Oeste americano está desapareciendo a su alrededor.",Sam Peckinpah,William Holden,Ernest Borgnine,Robert Ryan,Edmond O'Brien
Night of the Living Dead,1968,96,"Terror, Suspense",7.9,Un grupo heterogéneo de habitantes de Pensilvania se atrincheran en una antigua granja para mantenerse a salvo de una horda de demonios carnívoros que están asolando la costa este de los Estados Unidos.,George A. Romero,Duane Jones,Judith O'Dea,Karl Hardman,Marilyn Eastman
The Lion in Winter,1968,134,"Biografía, Drama, Historia",7.9,"1183 d.C.: Los tres hijos del rey Enrique II quieren heredar el trono, pero él no se compromete a elegir. Ellos y su esposa conspiran de diversas formas para obligarlo.",Anthony Harvey,Peter O'Toole,Katharine Hepburn,Anthony Hopkins,John Castle
In the Heat of the Night,1967,110,"Crimen, Drama, Misterio",7.9,A un detective de policía negro se le pide que investigue un asesinato en una ciudad del sur racialmente hostil.,Norman Jewison,Sidney Poitier,Rod Steiger,Warren Oates,Lee Grant
Charade,1963,113,"Comedia, Misterio, Romance",7.9,El romance y el suspenso se suceden en París cuando una mujer es perseguida por varios hombres que quieren una fortuna que su marido asesinado había robado. ¿En quién puede confiar?,Stanley Donen,Cary Grant,Audrey Hepburn,Walter Matthau,James Coburn
The Manchurian Candidate,1962,126,"Drama, Suspense",7.9,A un ex prisionero de guerra le lavan el cerebro como un asesino involuntario para una conspiración comunista internacional.,John Frankenheimer,Frank Sinatra,Laurence Harvey,Janet Leigh,Angela Lansbury
Spartacus,1960,197,"Aventura, Biografía, Drama",7.9,El esclavo Espartaco lidera una violenta revuelta contra la decadente República Romana.,Stanley Kubrick,Kirk Douglas,Laurence Olivier,Jean Simmons,Charles Laughton
L'avventura,1960,144,"Drama, Misterio",7.9,"Una mujer desaparece durante un viaje en barco por el Mediterráneo. Durante la búsqueda, su amante y su mejor amiga se sienten atraídos el uno por el otro.",Michelangelo Antonioni,Gabriele Ferzetti,Monica Vitti,Lea Massari,Dominique Blanchar
Hiroshima mon amour,1959,90,"Drama, Romance",7.9,Una actriz francesa que filma una película contra la guerra en Hiroshima tiene una aventura con un arquitecto japonés casado mientras comparten sus diferentes perspectivas sobre la guerra.,Alain Resnais,Emmanuelle Riva,Eiji Okada,Stella Dassas,Pierre Barbaud
The Ten Commandments,1956,220,"Aventura, Drama",7.9,"Moisés, un príncipe egipcio, aprende sobre su verdadera herencia como hebreo y su misión divina como libertador de su pueblo.",Cecil B. DeMille,Charlton Heston,Yul Brynner,Anne Baxter,Edward G. Robinson
The Searchers,1956,119,"Aventura, Drama, Western",7.9,Un veterano de la Guerra Civil estadounidense se embarca en un viaje para rescatar a su sobrina de los comanches.,John Ford,John Wayne,Jeffrey Hunter,Vera Miles,Ward Bond
East of Eden,1955,118,Drama,7.9,Dos hermanos luchan por mantener el favor de su padre estricto y portador de la Biblia.,Elia Kazan,James Dean,Raymond Massey,Julie Harris,Burl Ives
High Noon,1952,85,"Drama, Suspense, Western",7.9,"Un mariscal de la ciudad, a pesar de los desacuerdos de su novia recién casada y la gente del pueblo que lo rodea, debe enfrentarse solo a una pandilla de asesinos mortales al mediodía cuando el líder de la pandilla, un forajido que envió hace años, llega en el tren del mediodía.",Fred Zinnemann,Gary Cooper,Grace Kelly,Thomas Mitchell,Lloyd Bridges
Strangers on a Train,1951,101,"Crimen, Cine negro, Suspense",7.9,Un psicópata obliga a una estrella del tenis a aceptar su teoría de que dos desconocidos pueden salirse con la suya.,Alfred Hitchcock,Farley Granger,Robert Walker,Ruth Roman,Leo G. Carroll
Harvey,1950,104,"Comedia, Drama, Fantasía",7.9,"Debido a su insistencia en que tiene un conejo invisible de dos metros de altura como mejor amigo, su familia piensa que un hombre caprichoso de mediana edad está loco, pero puede que sea más sabio de lo que nadie cree.",Henry Koster,James Stewart,Wallace Ford,William H. Lynn,Victoria Horne
Miracle on 34th Street,1947,96,"Comedia, Drama, Familia",7.9,"Cuando un simpático anciano que dice ser Santa Claus es institucionalizado como loco, un joven abogado decide defenderlo argumentando ante el tribunal que él es real.",George Seaton,Edmund Gwenn,Maureen O'Hara,John Payne,Gene Lockhart
Notorious,1946,102,"Drama, Cine negro, Romance",7.9,A una mujer se le pide que espíe a un grupo de amigos nazis en Sudamérica. ¿Hasta dónde tendrá que llegar para congraciarse con ellos?,Alfred Hitchcock,Cary Grant,Ingrid Bergman,Claude Rains,Louis Calhern
The Big Sleep,1946,114,"Crimen, Cine negro, Misterio",7.9,"El detective privado Philip Marlowe es contratado por una familia adinerada. Antes de que termine el complejo caso, ha visto asesinatos, chantajes y lo que podría ser amor.",Howard Hawks,Humphrey Bogart,Lauren Bacall,John Ridgely,Martha Vickers
The Lost Weekend,1945,101,"Drama, Cine negro",7.9,La vida desesperada de un alcohólico crónico se sigue a través de una borrachera de cuatro días.,Billy Wilder,Ray Milland,Jane Wyman,Phillip Terry,Howard Da Silva
The Philadelphia Story,1940,112,Comedia romántica,7.9,"Cuando el exmarido de una mujer rica y un periodista sensacionalista aparecen justo antes de su nuevo matrimonio planeado, ella comienza a descubrir la verdad sobre sí misma.",George Cukor,Cary Grant,Katharine Hepburn,James Stewart,Ruth Hussey
His Girl Friday,1940,92,"Comedia, Drama, Romance",7.9,"El editor de un periódico utiliza todos los trucos posibles para evitar que su ex esposa, una periodista estrella, se vuelva a casar.",Howard Hawks,Cary Grant,Rosalind Russell,Ralph Bellamy,Gene Lockhart
The Adventures of Robin Hood,1938,102,"Acción, Aventura, Romance",7.9,"Cuando el príncipe Juan y los señores normandos comienzan a oprimir a las masas sajonas en ausencia del rey Ricardo, un señor sajón contraataca como líder forajido de un ejército guerrillero rebelde.",Michael Curtiz,William Keighley,Errol Flynn,Olivia de Havilland,Basil Rathbone
A Night at the Opera,1935,96,"Comedia, Música, Musical",7.9,Un astuto gerente de negocios y dos excéntricos amigos de dos cantantes de ópera los ayudan a alcanzar el éxito mientras humillan a sus estirados y esnobs enemigos.,Sam Wood,Edmund Goulding,Groucho Marx,Chico Marx,Harpo Marx
King Kong,1933,100,"Aventura, Terror, Ciencia ficción",7.9,Un equipo de filmación va a una isla tropical para rodar en un lugar exótico y descubre un simio colosal que se enamora de su estrella rubia. Luego es capturado y llevado de regreso a la ciudad de Nueva York para su exhibición pública.,Merian C. Cooper,Ernest B. Schoedsack,Fay Wray,Robert Armstrong,Bruce Cabot
Freaks,1932,64,"Drama, Terror",7.9,"La bella trapecista de un circo accede a casarse con el líder de los artistas del espectáculo, pero sus amigos deformes descubren que ella sólo se casa con él por su herencia.",Tod Browning,Wallace Ford,Leila Hyams,Olga Baclanova,Roscoe Ates
Nosferatu,1922,94,"Fantasía, Terror",7.9,El Conde Vampiro Orlok expresa interés en una nueva residencia y la esposa del agente inmobiliario Hutter.,F.W. Murnau,Max Schreck,Alexander Granach,Gustav von Wangenheim,Greta SchrÃ¶der
The Gentlemen,2019,113,"Acción, Comedia, Crimen",7.8,"Un expatriado estadounidense intenta vender su altamente rentable imperio de marihuana en Londres, desencadenando complots, planes, sobornos y chantajes en un intento de robarle su dominio.",Guy Ritchie,Matthew McConaughey,Charlie Hunnam,Michelle Dockery,Jeremy Strong
Raazi,2018,138,"Acción, Drama, Suspense",7.8,Una mujer de Cachemira acepta casarse con un oficial del ejército paquistaní para espiar a Pakistán durante la Guerra Indo-Pakistán de 1971.,Meghna Gulzar,Alia Bhatt,Vicky Kaushal,Rajit Kapoor,Shishir Sharma
Sound of Metal,2019,120,"Drama, Música",7.8,La vida de un baterista de heavy metal cae en caída libre cuando comienza a perder la audición.,Darius Marder,Riz Ahmed,Olivia Cooke,Paul Raci,Lauren Ridloff
Forushande,2016,124,Drama,7.8,"Mientras ambos participan en una producción de ""La muerte de un viajante"", la esposa de un maestro es agredida en su nuevo hogar, lo que lo deja decidido a encontrar al perpetrador a pesar de las objeciones traumatizadas de su esposa.",Asghar Farhadi,Shahab Hosseini,Taraneh Alidoosti,Babak Karimi,Mina Sadati
Dunkirk,2017,106,"Acción, Drama, Historia",7.8,"Los soldados aliados de Bélgica, el Imperio Británico y Francia son rodeados por el ejército alemán y evacuados durante una feroz batalla en la Segunda Guerra Mundial.",Christopher Nolan,Fionn Whitehead,Barry Keoghan,Mark Rylance,Tom Hardy
Perfetti sconosciuti,2016,96,Comedia dramática,7.8,"Siete viejos amigos se reúnen para cenar. Cuando deciden compartir entre ellos el contenido de cada mensaje de texto, correo electrónico y llamada telefónica que reciben, muchos secretos empiezan a desvelarse y el equilibrio tiembla.",Paolo Genovese,Giuseppe Battiston,Anna Foglietta,Marco Giallini,Edoardo Leo
Hidden Figures,2016,127,"Biografía, Drama, Historia",7.8,La historia de un equipo de matemáticas afroamericanas que desempeñaron un papel vital en la NASA durante los primeros años del programa espacial estadounidense.,Theodore Melfi,Taraji P. Henson,Octavia Spencer,Janelle MonÃ¡e,Kevin Costner
Paddington 2,2017,103,"Aventura, Comedia, Familia",7.8,"Paddington (Ben Whishaw), ahora felizmente instalado con la familia Brown y un miembro popular de la comunidad local, realiza una serie de trabajos ocasionales para comprar el regalo perfecto para el cumpleaños número 100 de su tía Lucy (Imelda Staunton), solo que el regalo para Ser robado.",Paul King,Ben Whishaw,Hugh Grant,Hugh Bonneville,Sally Hawkins
Udta Punjab,2016,148,"Acción, Crimen, Drama",7.8,"Una historia que gira en torno al abuso de drogas en el próspero estado de Punjab, en el norte de la India, y cómo los jóvenes de allí han sucumbido a él en masa, lo que ha provocado un declive socioeconómico.",Abhishek Chaubey,Shahid Kapoor,Alia Bhatt,Kareena Kapoor,Diljit Dosanjh
Kubo and the Two Strings,2016,101,"Animación, Acción, Aventura",7.8,Un joven llamado Kubo debe localizar una armadura mágica usada por su difunto padre para derrotar a un espíritu vengativo del pasado.,Travis Knight,Charlize Theron,Art Parkinson,Matthew McConaughey,Ralph Fiennes
M.S. Dhoni: The Untold Story,2016,184,"Biografía, Drama, Deporte",7.8,La historia no contada del viaje de Mahendra Singh Dhoni desde recolector de boletos hasta recolector de trofeos: el capitán del equipo de críquet indio ganador de la copa mundial.,Neeraj Pandey,Sushant Singh Rajput,Kiara Advani,Anupam Kher,Disha Patani
Manchester by the Sea,2016,137,Drama,7.8,A un tío deprimido se le pide que cuide de su sobrino adolescente después de la muerte del padre del niño.,Kenneth Lonergan,Casey Affleck,Michelle Williams,Kyle Chandler,Lucas Hedges
Under sandet,2015,100,"Drama, Historia, Guerra",7.8,"En la Dinamarca posterior a la Segunda Guerra Mundial, un grupo de jóvenes prisioneros de guerra alemanes se ven obligados a limpiar una playa de miles de minas terrestres bajo la supervisión de un sargento danés que poco a poco aprende a apreciar su difícil situación.",Martin Zandvliet,Roland MÃ¸ller,Louis Hofmann,Joel Basman,Mikkel Boe FÃ¸lsgaard
Rogue One,2016,133,"Acción, Aventura, Ciencia ficción",7.8,La hija de un científico imperial se une a la Alianza Rebelde en una arriesgada jugada para robar los planos de la Estrella de la Muerte.,Gareth Edwards,Felicity Jones,Diego Luna,Alan Tudyk,Donnie Yen
Captain America: Civil War,2016,147,"Acción, Aventura, Ciencia ficción",7.8,La participación política en los asuntos de los Vengadores provoca una ruptura entre el Capitán América y Iron Man.,Anthony Russo,Joe Russo,Chris Evans,Robert Downey Jr.,Scarlett Johansson
The Hateful Eight,2015,168,"Crimen, Drama, Misterio",7.8,"En pleno invierno de Wyoming, un cazarrecompensas y su prisionero encuentran refugio en una cabaña actualmente habitada por una colección de personajes nefastos.",Quentin Tarantino,Samuel L. Jackson,Kurt Russell,Jennifer Jason Leigh,Walton Goggins
Little Women,2019,135,"Drama, Romance",7.8,"Jo March reflexiona sobre su vida y cuenta la querida historia de las hermanas March: cuatro mujeres jóvenes, cada una decidida a vivir la vida en sus propios términos.",Greta Gerwig,Saoirse Ronan,Emma Watson,Florence Pugh,Eliza Scanlen
Loving Vincent,2017,94,"Animación, Biografía, Crimen",7.8,"En una historia representada con animación pintada al óleo, un joven llega a la última ciudad natal del pintor Vincent van Gogh (Robert Gulaczyk) para entregar la última carta del problemático artista y termina investigando sus últimos días allí.",Dorota Kobiela,Hugh Welchman,Douglas Booth,Jerome Flynn,Robert Gulaczyk
Pride,2014,119,"Biografía, Comedia, Drama",7.8,Activistas homosexuales del Reino Unido trabajan para ayudar a los mineros durante su larga huelga del Sindicato Nacional de Mineros en el verano de 1984.,Matthew Warchus,Bill Nighy,Imelda Staunton,Dominic West,Paddy Considine
Le passÃ©,2013,130,"Drama, Misterio",7.8,"Un iraní abandona a su esposa francesa y a sus dos hijos para regresar a su tierra natal. Mientras tanto, su esposa inicia una nueva relación, una realidad que su marido enfrenta ante la solicitud de divorcio de su esposa.",Asghar Farhadi,BÃ©rÃ©nice Bejo,Tahar Rahim,Ali Mosaffa,Pauline Burlet
La grande bellezza,2013,141,Drama,7.8,"Jep Gambardella ha seducido a través de la lujosa vida nocturna de Roma durante décadas, pero después de cumplir 65 años y un shock del pasado, Jep mira más allá de los clubes nocturnos y las fiestas para encontrar un paisaje atemporal de belleza absurda y exquisita.",Paolo Sorrentino,Toni Servillo,Carlo Verdone,Sabrina Ferilli,Carlo Buccirosso
The Lunchbox,2013,104,"Drama, Romance",7.8,Una entrega equivocada en el famoso y eficiente sistema de entrega de loncheras de Mumbai conecta a una joven ama de casa con un hombre mayor en el ocaso de su vida mientras construyen juntos un mundo de fantasía a través de notas en la lonchera.,Ritesh Batra,Irrfan Khan,Nimrat Kaur,Nawazuddin Siddiqui,Lillete Dubey
Vicky Donor,2012,126,Comedia romántica,7.8,"Un médico especialista en fertilidad trae a un hombre para que le proporcione su esperma, donde se convierte en el mayor donante de esperma de su clínica.",Shoojit Sircar,Ayushmann Khurrana,Yami Gautam,Annu Kapoor,Dolly Ahluwalia
Big Hero 6,2014,102,"Animación, Acción, Aventura",7.8,"Se desarrolla un vínculo especial entre el robot inflable de talla grande Baymax y el prodigio Hiro Hamada, quienes juntos se unen a un grupo de amigos para formar una banda de héroes de alta tecnología.",Don Hall,Chris Williams,Ryan Potter,Scott Adsit,Jamie Chung
About Time,2013,123,"Comedia, Drama, Fantasía",7.8,"A los 21 años, Tim descubre que puede viajar en el tiempo y cambiar lo que pasa y ha pasado en su propia vida. Su decisión de hacer de su mundo un lugar mejor consiguiendo una novia resulta no ser tan fácil como podría pensar.",Richard Curtis,Domhnall Gleeson,Rachel McAdams,Bill Nighy,Lydia Wilson
English Vinglish,2012,134,"Comedia, Drama, Familia",7.8,Una ama de casa tranquila y de temperamento dulce soporta todos los días pequeños desaires por parte de su marido y su hija bien educados debido a su incapacidad para hablar y comprender inglés.,Gauri Shinde,Sridevi,Adil Hussain,Mehdi Nebbou,Priya Anand
Kaze tachinu,2013,126,"Animación, Biografía, Drama",7.8,"Una mirada a la vida de Jiro Horikoshi, el hombre que diseñó los aviones de combate japoneses durante la Segunda Guerra Mundial.",Hayao Miyazaki,Hideaki Anno,Hidetoshi Nishijima,Miori Takimoto,Masahiko Nishimura
Toy Story 4,2019,100,"Animación, Aventura, Comedia",7.8,"Cuando un nuevo juguete llamado ""Forky"" se une a Woody y la pandilla, un viaje por carretera junto a viejos y nuevos amigos revela cuán grande puede ser el mundo para un juguete.",Josh Cooley,Tom Hanks,Tim Allen,Annie Potts,Tony Hale
La migliore offerta,2013,131,"Crimen, Drama, Misterio",7.8,Un solitario experto en arte que trabaja para una heredera misteriosa y solitaria considera que no sólo vale la pena examinar su arte.,Giuseppe Tornatore,Geoffrey Rush,Jim Sturgess,Sylvia Hoeks,Donald Sutherland
Moonrise Kingdom,2012,94,"Comedia, Drama, Romance",7.8,"Una pareja de jóvenes amantes huye de su ciudad de Nueva Inglaterra, lo que hace que un grupo de búsqueda local se despliegue para encontrarlos.",Wes Anderson,Jared Gilman,Kara Hayward,Bruce Willis,Bill Murray
How to Train Your Dragon 2,2014,102,"Animación, Acción, Aventura",7.8,"Cuando Hipo y Chimuelo descubren una cueva de hielo que alberga cientos de nuevos dragones salvajes y al misterioso Jinete de Dragón, los dos amigos se encuentran en el centro de una batalla para proteger la paz.",Dean DeBlois,Jay Baruchel,Cate Blanchett,Gerard Butler,Craig Ferguson
The Big Short,2015,130,"Biografía, Comedia, Drama",7.8,En 2006-2007 un grupo de inversores apostó contra el mercado hipotecario estadounidense. En su investigación descubren cuán defectuoso y corrupto es el mercado.,Adam McKay,Christian Bale,Steve Carell,Ryan Gosling,Brad Pitt
Kokuhaku,2010,106,"Drama, Suspense",7.8,Un thriller psicológico sobre una madre afligida convertida en vengadora a sangre fría con un sinuoso plan maestro para pagar a los responsables de la muerte de su hija.,Tetsuya Nakashima,Takako Matsu,Yoshino Kimura,Masaki Okada,Yukito Nishii
Ang-ma-reul bo-at-da,2010,144,"Acción, Crimen, Drama",7.8,Un agente secreto se venga de un asesino en serie a través de una serie de capturas y liberaciones.,Jee-woon Kim,Lee Byung-Hun,Choi Min-sik,Jeon Gook-Hwan,Ho-jin Chun
The Girl with the Dragon Tattoo,2011,158,"Crimen, Drama, Misterio",7.8,"El periodista Mikael Blomkvist recibe la ayuda de Lisbeth Salander, una joven hacker informática, en su búsqueda de una mujer desaparecida desde hace cuarenta años.",David Fincher,Daniel Craig,Rooney Mara,Christopher Plummer,Stellan SkarsgÃ¥rd
Captain Phillips,2013,134,"Aventuras, Biografía, Crimen",7.8,"La historia real del capitán Richard Phillips y el secuestro en 2009 por piratas somalíes del MV Maersk Alabama, con bandera estadounidense, el primer carguero estadounidense secuestrado en doscientos años.",Paul Greengrass,Tom Hanks,Barkhad Abdi,Barkhad Abdirahman,Catherine Keener
Ajeossi,2010,119,"Acción, Crimen, Drama",7.8,Un tranquilo dueño de una casa de empeño con un pasado violento se enfrenta a una red de tráfico de drogas y órganos con la esperanza de salvar al niño que es su único amigo.,Jeong-beom Lee,Won Bin,Sae-ron Kim,Tae-hoon Kim,Hee-won Kim
Straight Outta Compton,2015,147,"Biografía, Drama, Historia",7.8,"El grupo de rap NWA surge de las calles de Compton en Los Ángeles, California, a mediados de la década de 1980 y revoluciona la cultura Hip Hop con su música e historias sobre la vida en el barrio.",F. Gary Gray,O'Shea Jackson Jr.,Corey Hawkins,Jason Mitchell,Neil Brown Jr.
Madeo,2009,129,"Crimen, Drama, Misterio",7.8,Una madre busca desesperadamente al asesino que incriminó a su hijo por el horrible asesinato de una niña.,Bong Joon Ho,Hye-ja Kim,Won Bin,Jin Goo,Je-mun Yun
Chugyeokja,2008,125,"Acción, Crimen, Suspense",7.8,Un ex policía caído en desgracia que dirige una pequeña red de prostitutas se ve en una carrera contra el tiempo cuando una de sus mujeres desaparece.,Hong-jin Na,Kim Yoon-seok,Jung-woo Ha,Yeong-hie Seo,Yoo-Jeong Kim
The Hobbit: The Desolation of Smaug,2013,161,"Aventura, Fantasía",7.8,"Los enanos, junto con Bilbo Bolsón y Gandalf el Gris, continúan su búsqueda para recuperar Erebor, su tierra natal, de manos de Smaug. Bilbo Bolsón está en posesión de un anillo misterioso y mágico.",Peter Jackson,Ian McKellen,Martin Freeman,Richard Armitage,Ken Stott
Das weiÃe Band - Eine deutsche Kindergeschichte,2009,144,"Drama, Historia, Misterio",7.8,"En un pequeño pueblo del norte de Alemania suceden extraños acontecimientos durante los años previos a la Primera Guerra Mundial, que parecen ser un castigo ritual. ¿Quién es responsable?",Michael Haneke,Christian Friedel,Ernst Jacobi,Leonie Benesch,Ulrich Tukur
MÃ¤n som hatar kvinnor,2009,152,"Crimen, Drama, Misterio",7.8,Un periodista recibe la ayuda de una joven hacker en su búsqueda del asesino de una mujer que lleva muerta cuarenta años.,Niels Arden Oplev,Michael Nyqvist,Noomi Rapace,Ewa FrÃ¶ling,Lena Endre
The Trial of the Chicago 7,2020,129,"Drama, Historia, Suspense",7.8,"La historia de 7 personas juzgadas por varios cargos relacionados con el levantamiento en la Convención Nacional Demócrata de 1968 en Chicago, Illinois.",Aaron Sorkin,Eddie Redmayne,Alex Sharp,Sacha Baron Cohen,Jeremy Strong
Druk,2020,117,Comedia dramática,7.8,"Cuatro amigos, todos profesores de secundaria, ponen a prueba la teoría de que mejorarán sus vidas manteniendo un nivel constante de alcohol en sangre.",Thomas Vinterberg,Mads Mikkelsen,Thomas Bo Larsen,Magnus Millang,Lars Ranthe
The Fighter,2010,116,"Biografía, Drama, Deporte",7.8,"Basado en la historia de Micky Ward, un boxeador novato que intenta escapar de la sombra de su hermano mayor, más famoso pero problemático, y conseguir su propia oportunidad de alcanzar la grandeza.",David O. Russell,Mark Wahlberg,Christian Bale,Amy Adams,Melissa Leo
Taken,2008,90,"Acción, Suspense",7.8,"Un agente retirado de la CIA viaja por Europa y confía en sus viejas habilidades para salvar a su hija separada, que ha sido secuestrada durante un viaje a París.",Pierre Morel,Liam Neeson,Maggie Grace,Famke Janssen,Leland Orser
The Boy in the Striped Pyjamas,2008,94,"Drama, Historia, Guerra",7.8,"A través de los ojos inocentes de Bruno, el hijo de ocho años del comandante de un campo de concentración alemán, una amistad prohibida con un niño judío al otro lado de la valla del campo tiene consecuencias sorprendentes e inesperadas.",Mark Herman,Asa Butterfield,David Thewlis,Rupert Friend,Zac Mattoon O'Brien
Once,2007,86,"Drama, Música, Romance",7.8,"Un musical moderno sobre un músico callejero y un inmigrante y su agitada semana en Dublín, mientras escriben, ensayan y graban canciones que cuentan su historia de amor.",John Carney,Glen Hansard,MarkÃ©ta IrglovÃ¡,Hugh Walsh,Gerard Hendrick
The Hobbit: An Unexpected Journey,2012,169,"Aventura, Fantasía",7.8,"Un hobbit reacio, Bilbo Bolsón, se dirige a la Montaña Solitaria con un grupo de enanos enérgicos para recuperar su hogar en la montaña y el oro que contiene del dragón Smaug.",Peter Jackson,Martin Freeman,Ian McKellen,Richard Armitage,Andy Serkis
Auf der anderen Seite,2007,122,Drama,7.8,Un turco viaja a Estambul para encontrar a la hija de la exnovia de su padre.,Fatih Akin,Baki Davrak,NurgÃ¼l YesilÃ§ay,Tuncel Kurtiz,Nursel KÃ¶se
Atonement,2007,123,"Drama, Misterio, Romance",7.8,"Briony Tallis, una novel escritora de trece años, cambia irrevocablemente el curso de varias vidas cuando acusa al amante de su hermana mayor de un crimen que él no cometió.",Joe Wright,Keira Knightley,James McAvoy,Brenda Blethyn,Saoirse Ronan
Drive,2011,100,"Drama, Crimen",7.8,Un misterioso especialista y mecánico de Hollywood trabaja como conductor de fuga y se mete en problemas cuando ayuda a su vecino.,Nicolas Winding Refn,Ryan Gosling,Carey Mulligan,Bryan Cranston,Albert Brooks
American Gangster,2007,157,"Biografía, Crimen, Drama",7.8,"Un policía marginado de la ciudad de Nueva York está acusado de derribar al narcotraficante de Harlem Frank Lucas, cuya vida real inspiró esta película parcialmente biográfica.",Ridley Scott,Denzel Washington,Russell Crowe,Chiwetel Ejiofor,Josh Brolin
Avatar,2009,162,"Acción, Aventura, Fantasía",7.8,Un marine parapléjico enviado a la luna Pandora en una misión única se debate entre seguir sus órdenes y proteger el mundo que considera su hogar.,James Cameron,Sam Worthington,Zoe Saldana,Sigourney Weaver,Michelle Rodriguez
Mr. Nobody,2009,141,"Drama, Fantasía, Romance",7.8,"Un niño se encuentra en el andén de una estación cuando un tren está a punto de partir. ¿Debería irse con su madre o quedarse con su padre? De esta decisión surgen infinitas posibilidades. Mientras él no elija, todo es posible.",Jaco Van Dormael,Jared Leto,Sarah Polley,Diane Kruger,Linh Dan Pham
Apocalypto,2006,139,"Acción, Aventura, Drama",7.8,"Mientras el reino maya enfrenta su decadencia, un joven emprende un peligroso viaje hacia un mundo gobernado por el miedo y la opresión.",Mel Gibson,Gerardo Taracena,Raoul Max Trujillo,Dalia HernÃ¡ndez,Rudy Youngblood
Little Miss Sunshine,2006,101,Comedia dramática,7.8,Una familia decidida a llevar a su pequeña hija a la final de un concurso de belleza emprende un viaje por el país en su autobús VW.,Jonathan Dayton,Valerie Faris,Steve Carell,Toni Collette,Greg Kinnear
Hot Fuzz,2007,121,"Acción, Comedia, Misterio",7.8,Un hábil policía londinense es trasladado a un pequeño pueblo que guarda un oscuro secreto.,Edgar Wright,Simon Pegg,Nick Frost,Martin Freeman,Bill Nighy
The Curious Case of Benjamin Button,2008,166,"Drama, Fantasía, Romance",7.8,"Cuenta la historia de Benjamin Button, un hombre que empieza a envejecer al revés con consecuencias.",David Fincher,Brad Pitt,Cate Blanchett,Tilda Swinton,Julia Ormond
Veer-Zaara,2004,192,"Drama, Familia, Musical",7.8,"Veer-Zaara es una saga de amor, separación, coraje y sacrificio. Una historia de amor que es una inspiración y seguirá siendo una leyenda para siempre.",Yash Chopra,Shah Rukh Khan,Preity Zinta,Rani Mukerji,Kirron Kher
Adams Ã¦bler,2005,94,"Comedia, Crimen, Drama",7.8,Un neonazi condenado a realizar servicios comunitarios en una iglesia choca con el sacerdote ciegamente devoto.,Anders Thomas Jensen,Ulrich Thomsen,Mads Mikkelsen,Nicolas Bro,Paprika Steen
